DIM CALIBRE.CALIBRE,DIM CAMPANIA.CAMPANIA,DIM CLIENTE.CLIENTE,DIM CONSIGNATARIO.CONSIGNATARIO,DIM CONTENEDOR.CONTENEDOR,DIM ETIQUETA.ETIQUETA,DIM FECHA ARRIBO.FECHA,DIM FECHA CARGA.FECHA,DIM FECHA LLEGADA DESTINO.FECHA,DIM FECHA PARTIDA.FECHA,DIM MARCA.MARCA,DIM MONEDA ORIGEN.MONEDA ORIGEN,DIM NAVIERA.NAVIERA,DIM NROPACKINGLIST.NROPACKINGLIST,DIM OBSERVACIONES.OBSERVACIONES,DIM PAIS.PAIS,DIM PUERTO DESTINO.PUERTO DESTINO,DIM SEMANA CARGA.SEMANA CARGA,DIM SEMANA VENTA.SEMANA VENTA,DIM VARIEDAD.VARIEDAD,CANTIDAD,DIAS ATRASO,FOT RBT,LIQUIDACION,PESO,PRECIO FOB,PRECIO VENTA,Recuento FACT COMERCIAL,TIEMPO TRANSITO ESTIMADO,TIEMPO TRANSITO REAL,DIAS ATRASO CALCULADO,FLAG A TIEMPO,DIM ENVASE.ENVASE,PESO UN,FOT 8.2 CALIBRE
109,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG_561,N/D,N/D,CHINA,0,21,RED GLOBE,114,0,0,0,934.8,11.195,18.056,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
109,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG-310,N/D,N/D,CHINA,0,20,RED GLOBE,114,0,0,0,934.8,13.284,18.628,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
109,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG-328,N/D,N/D,CHINA,0,21,RED GLOBE,114,0,0,0,934.8,15.022,20.801,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
200,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG - 154,N/D,N/D,CHINA,0,12,RED GLOBE,114,0,0,0,934.8,171.113,223.226,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
200,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG - 154,N/D,N/D,CHINA,0,29,RED GLOBE,114,0,0,0,934.8,26.529,34.609,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
200,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG - 154,N/D,N/D,CHINA,0,9,RED GLOBE,114,0,0,0,934.8,171.113,223.226,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
200,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG_463,N/D,N/D,CHINA,0,21,RED GLOBE,114,0,0,0,934.8,14.007,19.259,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
200,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG_508,N/D,N/D,CHINA,0,21,RED GLOBE,114,0,0,0,934.8,14.639,20.044,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
200,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG_510,N/D,N/D,CHINA,0,21,RED GLOBE,114,0,0,0,934.8,14.4,20.71,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
200,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG_536,N/D,N/D,CHINA,0,22,RED GLOBE,114,0,0,0,934.8,19.358,26.126,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
